,date,holiday_Name,holiday_Type
0,2017-01-01,weekend,weekend
1,2017-01-02,Republic Day/New Year's Day observed,National holiday
2,2017-01-03,regular,regular
3,2017-01-04,regular,regular
4,2017-01-05,regular,regular
5,2017-01-06,regular,regular
6,2017-01-07,weekend,weekend
7,2017-01-08,weekend,weekend
8,2017-01-09,regular,regular
9,2017-01-10,regular,regular
10,2017-01-11,regular,regular
11,2017-01-12,regular,regular
12,2017-01-13,regular,regular
13,2017-01-14,weekend,weekend
14,2017-01-15,weekend,weekend
15,2017-01-16,regular,regular
16,2017-01-17,regular,regular
17,2017-01-18,regular,regular
18,2017-01-19,regular,regular
19,2017-01-20,regular,regular
20,2017-01-21,weekend,weekend
21,2017-01-22,weekend,weekend
22,2017-01-23,regular,regular
23,2017-01-24,regular,regular
24,2017-01-25,regular,regular
25,2017-01-26,regular,regular
26,2017-01-27,Chinese New Year's Eve,National holiday
27,2017-01-28,weekend,weekend
28,2017-01-29,weekend,weekend
29,2017-01-30,Chinese New Year Holiday,National holiday
30,2017-01-31,Chinese New Year Holiday,National holiday
31,2017-02-01,Chinese New Year Holiday,National holiday
32,2017-02-02,regular,regular
33,2017-02-03,regular,regular
34,2017-02-04,weekend,weekend
35,2017-02-05,weekend,weekend
36,2017-02-06,regular,regular
37,2017-02-07,regular,regular
38,2017-02-08,regular,regular
39,2017-02-09,regular,regular
40,2017-02-10,regular,regular
41,2017-02-11,weekend,weekend
42,2017-02-12,weekend,weekend
43,2017-02-13,regular,regular
44,2017-02-14,regular,regular
45,2017-02-15,regular,regular
46,2017-02-16,regular,regular
47,2017-02-17,regular,regular
48,2017-02-18,weekend,weekend
49,2017-02-19,weekend,weekend
50,2017-02-20,regular,regular
51,2017-02-21,regular,regular
52,2017-02-22,regular,regular
53,2017-02-23,regular,regular
54,2017-02-24,regular,regular
55,2017-02-25,weekend,weekend
56,2017-02-26,weekend,weekend
57,2017-02-27,regular,regular
58,2017-02-28,Peace Memorial Day,National holiday
59,2017-03-01,regular,regular
60,2017-03-02,regular,regular
61,2017-03-03,regular,regular
62,2017-03-04,weekend,weekend
63,2017-03-05,weekend,weekend
64,2017-03-06,regular,regular
65,2017-03-07,regular,regular
66,2017-03-08,regular,regular
67,2017-03-09,regular,regular
68,2017-03-10,regular,regular
69,2017-03-11,weekend,weekend
70,2017-03-12,weekend,weekend
71,2017-03-13,regular,regular
72,2017-03-14,regular,regular
73,2017-03-15,regular,regular
74,2017-03-16,regular,regular
75,2017-03-17,regular,regular
76,2017-03-18,weekend,weekend
77,2017-03-19,weekend,weekend
78,2017-03-20,regular,regular
79,2017-03-21,regular,regular
80,2017-03-22,regular,regular
81,2017-03-23,regular,regular
82,2017-03-24,regular,regular
83,2017-03-25,weekend,weekend
84,2017-03-26,weekend,weekend
85,2017-03-27,regular,regular
86,2017-03-28,regular,regular
87,2017-03-29,regular,regular
88,2017-03-30,regular,regular
89,2017-03-31,regular,regular
90,2017-04-01,weekend,weekend
91,2017-04-02,weekend,weekend
92,2017-04-03,Children's Day,National holiday
